District ,School
,
1,4
Araria,"Rampur, Farvisganj"
Arwal," Mahuari Nirulaah, Arwal"
Aurangabad,Aurangabad
Banka,"Chapri, Dhauraiya, Banka"
Banka," Chanan, Banka"
Begusarai,Begusarai
Bettiah,"Belatandi, Ramnagar"
Bettiah,Chautarwa
Bettiah,Madraul
Bettiah,Belsandi Gaunaha
Bettiah,Bhirbhiriya Mainatad
Bettiah,Dhamaura Gaunaha
Bettiah,Madhubani Ramnagar
Bettiah,Sindhaw
Bettiah,Kadamhawa Bagha-2
Bhagalpur,Comapanybag
Bhagalpur,Pirpaiti
Bhojpur,"Maulabag, Aara"
Bhojpur," Sadar Aara, Jain School, Aara"
Buxar, Buxar (Dumrao)
Darbhanga," Bahadurganj, Darbhanga"
Gaya,Mahkar
Gaya,"Manfar,"
Gaya,Matihani
Gaya,Sherghati
Gaya,Tapovan
Gaya,Aamas
Gaya,Dumariya
Gaya,Fatehpur
Gaya,Gaya town
Gaya,Imamganj
Gaya,Manpur
Gaya,"Meerchak, Gurua"
Gaya,Mohanpur
Gaya,Wazirganj
Gopalganj,"Hathua, Gopalganj"
Jahanabad," kako, Jahanbad"
Jamui,Aasta Jhajha
Jamui,Indape
Jamui, Bamdah
Kaimur,Bhabhua
Kaimur,Kudara
Kaimur,Aathan
Kaimur,Baragaon Khurd
Kaimur,Devari
Kaimur,"Kolhua, Adhaura "
Kaimur,"Masani, Chainpur"
Kaimur,Sadaki
Kaimur,"Semra, Chainpur"
Katihar, Nima
Katihar,Sonaili
Khagaria," Alouli, Khagariya"
Kishanganj,Motihara
Kishanganj,Halamala
Lakhisarai,Lakhisarai
Madhepura, Murliganj
Madhubani,Balirajpur
Madhubani,Ramnagar
Madhubani,Madhubani
Motihari, Sugaw
Munger,Munger
Muzaffarpur,Pokhraira
Muzaffarpur,Bochhan
Muzaffarpur, Muraul
Muzaffarpur,Rajwada
Nalanda, Harnaut
Nalanda, Rajgir
Nawada,Gondapur
Nawada,Rajaouli
Nawada,Sirdala
Patna,Piplawa Naubatpur
Patna,"Gayghat, Sadar"
Patna,Punpun
Purnia,Jankinagar
Purnia,Banmankhi
Purnia,Mugaliya
Rohtash,Rameshwarganj
Rohtash,Mokar
Rohtash,Budhua
Rohtash,"Nagatoli, Rohtas"
Rohtash,"Soli, (Rehal)"
Saharsa," Amarpur, Sahrsha"
Samastipur,Rosara
Samastipur, Harpur Alouth
Saran,Saran
Sheikhpura,"Chakdiwan, Shekhpura"
Sheohar,Sheohar
Sitamarhi,"Raghopur Bakhari, Sitamarhi"
Siwan,"Kandhwara, Siwan"
Supaul," Pipra, Supaul"
Vaishali,"Dighi, Hajipur"
